ds,yhat,yhat_lower,yhat_upper
2026-01-01,113.9928821841794,89.76434006283364,138.04549781737344
2026-01-02,111.92873737803065,87.64810775539779,136.46813701129838
2026-01-03,115.71962164017847,91.6644765759602,138.16693979716297
2026-01-04,121.69872832149962,97.82712085799362,143.6847532108721
2026-01-05,125.50443715839177,101.22211316211745,149.00157558440284
2026-01-06,124.40186281846498,100.64222382931248,148.80071463861415
2026-01-07,123.49237432988949,98.64961159851711,146.39059170057556
2026-01-08,113.36686886891374,88.9044321471332,137.3515178387081
2026-01-09,110.9915718217867,87.23718581450589,135.9814465591314
2026-01-10,114.52088305781808,90.32370253641477,136.49415785879225
2026-01-11,120.29221085243258,96.4373515134833,144.2211334765242
2026-01-12,123.94689841684831,98.40795739945187,147.9176290270574
2026-01-13,122.75171692858918,98.4677855612513,147.57820978581083
2026-01-14,121.80836034520347,97.60172987436447,145.65854889739077
2026-01-15,111.70672588612449,87.25914032485935,135.59927733807717
2026-01-16,109.41075174437825,85.072170807157,134.24554846789852
2026-01-17,113.07133085791065,88.207941356297,138.00346101518292
2026-01-18,119.02124034904828,94.41796388353355,141.9995893189571
2026-01-19,122.89618908382181,96.78190200336732,147.30272674705446
2026-01-20,121.95645413158435,98.03985748419193,145.63796764115935
2026-01-21,121.2965377632309,97.47683227741076,146.36086435990615
2026-01-22,111.49862479463089,86.37062790222484,135.82963485145146
2026-01-23,109.51860742596155,84.95126477692062,131.89405405662336
2026-01-24,113.49919177769908,89.31884677971405,139.69774414624996
2026-01-25,119.76502099899432,95.58738441492554,143.7000401533741
2026-01-26,123.94391268615215,100.63191852841912,147.79425978680985
2026-01-27,123.28867681185214,98.29544555024079,147.46383789510998
2026-01-28,122.88694147345973,99.2920143417161,147.61664643923737
2026-01-29,113.31476229358734,86.43647155187914,136.06976202981411
2026-01-30,111.52277910466412,86.83008744326433,134.79226552303552
2026-01-31,115.64943113721176,92.21779601382751,140.45889438967188
2026-02-01,122.01616321833434,97.95837521705978,147.06932323268774
2026-02-02,126.2487190120047,101.21123876222848,149.14485144693393
2026-02-03,125.59898649899432,100.5932549315687,149.55996301021662
2026-02-04,125.15482272203906,99.14528300485168,148.7579166947527
2026-02-05,115.4936340690459,90.64704517987586,139.20187474968085
2026-02-06,113.56847686773555,89.12919840210712,136.8523070510045
2026-02-07,117.52119132068691,95.24451363622187,143.0934480389415
2026-02-08,123.67750370973188,98.05869624430103,149.5650396636852
2026-02-09,127.66819586921,104.18835197525183,153.79748127641483
2026-02-10,126.75081055537808,101.71005814085576,148.75885949073879
2026-02-11,126.01932353907503,103.68561990638551,151.6469196710907
2026-02-12,116.05756276034296,92.69748678125914,140.73167628355628
2026-02-13,113.8251435458818,89.0594447675511,139.63824573278578
2026-02-14,117.47043719277411,93.9485357532491,140.73602587944774
2026-02-15,123.32551205908142,98.91082602075862,148.3191357816303
2026-02-16,127.02715020035781,102.10706688833051,149.5652596598875
2026-02-17,125.83841194469753,103.36607618345984,150.3244937508117
2026-02-18,124.85818262883915,100.3717476256287,147.41781779332757
2026-02-19,114.67448477678539,90.47767083233691,137.94759083788637
2026-02-20,112.25032713974662,88.8703471338867,136.79204929697178
2026-02-21,115.73660973849556,91.7698389136302,139.68985273488613
2026-02-22,121.46702526476939,97.69198693106348,145.0481838894748
2026-02-23,125.07906045231178,101.71511417835087,149.89860538953977
2026-02-24,123.83556973058415,99.63031155047659,148.92430036485462
2026-02-25,122.83435466395161,98.42876175460731,147.60723104719418
2026-02-26,112.66153112652115,87.5052750503637,137.07738299032917
2026-02-27,110.27745373232717,84.60045501772596,135.16370763704046
2026-02-28,113.82971425249418,89.11639167949235,139.9146863283745
2026-03-01,119.64815153026555,94.89430818640228,144.26848856771585
2026-03-02,123.36597330177082,99.98324292149692,145.65787330889074
2026-03-03,122.24145876839289,97.87165599946371,147.17774457690143
2026-03-04,121.36767178933349,95.360469336245,146.47310810529382
2026-03-05,111.32596294084698,87.05558177597062,137.14373847460413
2026-03-06,109.07202629236849,85.79042610935097,133.56571123133796
2026-03-07,112.74902409198421,89.43742815648595,138.3043619439543
2026-03-08,118.68271355863766,95.28624721854972,143.71083767672147
2026-03-09,122.50267318568586,99.06061259538387,147.36658609755784
2026-03-10,121.46409478828404,97.85339871623374,147.31581933868935
2026-03-11,120.65756900120607,94.27272207401808,145.0528122322128
2026-03-12,110.66264081900135,86.40267113971683,137.09165107972964
2026-03-13,108.43389991603549,85.19240029111619,133.21584669535454
2026-03-14,112.11411839323773,87.55789655767849,135.6664366463417
2026-03-15,118.02937017359429,93.3270171580674,143.11810983388085
2026-03-16,121.81023004140624,95.64546058474733,146.53622149671708
2026-03-17,120.71351968433018,97.6082393867998,145.35319372364498
2026-03-18,119.83203007340865,94.72292543297708,145.4888790804934
2026-03-19,109.74799884806664,84.2660184480446,134.4479623756499
2026-03-20,107.41910990336706,83.79319721677514,130.1804672261913
2026-03-21,110.9915305966301,87.84908207316565,134.74560188453617
2026-03-22,116.79492379548239,94.17493263394758,141.4613401222532
2026-03-23,120.4635359052662,96.68065736814656,143.85509096849933
2026-03-24,119.25783143247541,93.18084306724991,142.57130130442997
2026-03-25,118.27410658076299,94.04239840484733,144.0883928381296
2026-03-26,108.0978635861198,85.15660020640632,132.86342028394174
2026-03-27,105.68971582152842,81.41756236472926,129.45173037016764
2026-03-28,109.1983416402528,85.93152953687307,134.01881337257262
2026-03-29,114.95542638278913,91.57841429292358,139.33619080529866
2026-03-30,118.59669548207911,95.79435406113362,143.32122374459368
2026-03-31,117.38351057175794,92.977119228415,141.14598394707212
